start station id,TotalRides,AvgDuration,SumDuration,Start Station ID,Start Station Name,Start Station Lat,Start Station Lng,Data Month
357.0,1149,616.7545691906005,708651,357.0,E 11 St & Broadway,40.73261787,-73.99158043,Jan2018
358.0,3068,664.7601043024772,2039484,358.0,Christopher St & Greenwich St,40.73291553,-74.00711384,Jan2018
359.0,3773,772.8878876225815,2916106,359.0,E 47 St & Park Ave,40.75510267,-73.97498696,Jan2018
360.0,717,744.3403068340307,533692,360.0,William St & Pine St,40.70717936,-74.00887308,Jan2018
361.0,1814,746.3092613009923,1353805,361.0,Allen St & Hester St,40.71605866,-73.99190759,Jan2018
362.0,1136,683.0853873239437,775985,362.0,Broadway & W 37 St,40.75172632,-73.98753523,Jan2018
363.0,1194,654.7772194304857,781804,363.0,West Thames St,40.70834698,-74.01713445,Jan2018
364.0,587,687.8671209540034,403778,364.0,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,Jan2018
365.0,458,623.0,285334,365.0,Fulton St & Grand Ave,40.68223166,-73.9614583,Jan2018
366.0,1178,673.6298811544991,793536,366.0,Clinton Ave & Myrtle Ave,40.693261,-73.968896,Jan2018
368.0,3091,616.8958265933355,1906825,368.0,Carmine St & 6 Ave,40.73038599,-74.00214988,Jan2018
369.0,1232,596.1168831168832,734416,369.0,Washington Pl & 6 Ave,40.73224119,-74.00026394,Jan2018
372.0,217,989.1705069124424,214650,372.0,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,Jan2018
373.0,180,792.4555555555555,142642,373.0,Willoughby Ave & Walworth St,40.69331716,-73.95381995,Jan2018
376.0,1195,688.2326359832635,822438,376.0,John St & William St,40.70862144,-74.00722156,Jan2018
377.0,1316,797.3639817629179,1049331,377.0,6 Ave & Canal St,40.72243797,-74.00566443,Jan2018
379.0,3652,618.2059145673603,2257688,379.0,W 31 St & 7 Ave,40.749156,-73.9916,Jan2018
380.0,2325,605.7931182795699,1408469,380.0,W 4 St & 7 Ave S,40.73401143,-74.00293877,Jan2018
382.0,3181,578.122917321597,1839009,382.0,University Pl & E 14 St,40.73492695,-73.99200509,Jan2018
383.0,2122,684.2525918944392,1451984,383.0,Greenwich Ave & Charles St,40.735238,-74.000271,Jan2018
385.0,1535,703.0931596091206,1079248,385.0,E 55 St & 2 Ave,40.75797322,-73.96603308,Jan2018
386.0,1025,796.2253658536586,816131,386.0,Centre St & Worth St,40.71494807,-74.00234482,Jan2018
387.0,2578,837.9437548487199,2160219,387.0,Centre St & Chambers St,40.71273266,-74.0046073,Jan2018
388.0,1808,670.6587389380531,1212551,388.0,W 26 St & 10 Ave,40.749717753,-74.002950346,Jan2018
389.0,828,751.4359903381643,622189,389.0,Broadway & Berry St,40.71044554,-73.96525063,Jan2018
390.0,796,680.1017587939698,541361,390.0,Duffield St & Willoughby St,40.69221589,-73.9842844,Jan2018
391.0,1285,604.5385214007782,776832,391.0,Clark St & Henry St,40.69760127,-73.99344559,Jan2018
392.0,727,1045.965612104539,760417,392.0,Jay St & Tech Pl,40.695065,-73.987167,Jan2018
393.0,1015,625.4384236453202,634820,393.0,E 5 St & Avenue C,40.72299208,-73.97995466,Jan2018
394.0,1689,736.8709295441089,1244575,394.0,E 9 St & Avenue C,40.72521311,-73.97768752,Jan2018
396.0,401,559.4763092269327,224350,396.0,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,Jan2018
397.0,369,671.0352303523035,247612,397.0,Fulton St & Clermont Ave,40.68415748,-73.96922273,Jan2018
398.0,396,934.5530303030303,370083,398.0,Atlantic Ave & Furman St,40.69165183,-73.99997859999999,Jan2018
399.0,660,582.5030303030303,384452,399.0,Lafayette Ave & St James Pl,40.68851534,-73.9647628,Jan2018
400.0,397,789.9445843828715,313608,400.0,Pitt St & Stanton St,40.71926081,-73.98178024,Jan2018
401.0,1948,612.7448665297741,1193627,401.0,Allen St & Rivington St,40.72019576,-73.98997825,Jan2018
402.0,4526,628.2160848431286,2843306,402.0,Broadway & E 22 St,40.740343200000005,-73.98955109,Jan2018
403.0,1802,632.9605993340732,1140595,403.0,E 2 St & 2 Ave,40.72502876,-73.99069656,Jan2018
405.0,1652,736.3734866828087,1216489,405.0,Washington St & Gansevoort St,40.739323,-74.008119,Jan2018
406.0,991,689.2159434914228,683013,406.0,Hicks St & Montague St,40.69512845,-73.99595065,Jan2018
407.0,424,619.1179245283018,262506,407.0,Henry St & Poplar St,40.700469,-73.991454,Jan2018
408.0,620,736.6225806451613,456706,408.0,Market St & Cherry St,40.71076228,-73.99400398,Jan2018
409.0,289,3462.3979238754328,1000633,409.0,DeKalb Ave & Skillman St,40.6906495,-73.95643107,Jan2018
410.0,2113,699.2285849503077,1477470,410.0,Suffolk St & Stanton St,40.72066442,-73.98517977,Jan2018
411.0,936,722.5267094017094,676285,411.0,E 6 St & Avenue D,40.72228087,-73.97668709,Jan2018
412.0,1532,837.1631853785901,1282534,412.0,Forsyth St & Canal St,40.715815500000005,-73.99422366,Jan2018
414.0,438,901.6232876712329,394911,414.0,Pearl St & Anchorage Pl,40.70281858,-73.98765762,Jan2018
415.0,1005,796.8636815920398,800848,415.0,Pearl St & Hanover Square,40.7047177,-74.00926027,Jan2018
416.0,732,629.7540983606557,460980,416.0,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,Jan2018
417.0,1901,694.6817464492373,1320590,417.0,Barclay St & Church St,40.71291224,-74.01020234,Jan2018
418.0,458,812.4148471615721,372086,418.0,Front St & Gold St,40.70224,-73.982578,Jan2018
419.0,465,480.61290322580646,223485,419.0,Carlton Ave & Park Ave,40.69580705,-73.97355569,Jan2018
420.0,413,538.7941888619855,222522,420.0,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,Jan2018
421.0,264,752.2689393939394,198599,421.0,Clermont Ave & Park Ave,40.69573398,-73.97129668,Jan2018
422.0,1107,787.7560975609756,872046,422.0,W 59 St & 10 Ave,40.770513,-73.988038,Jan2018
423.0,1173,619.6794543904518,726884,423.0,W 54 St & 9 Ave,40.76584941,-73.98690506,Jan2018
426.0,2700,862.7148148148148,2329330,426.0,West St & Chambers St,40.71754834,-74.01322069,Jan2018
